Country_cat;Intercompany_cat;Overdue_cat;Agegroup_cat; Value ;Period_cat; target
Nordics;N;Yes;0-30;8537532;Q4;122.13818037768871
Nordics;N;Yes;120+;10422176;Q4;148.3239567588648
Nordics;N;Yes;31-60;7787616;Q4;116.57261895089233
Nordics;N;Yes;61-90;9233013;Q4;74.77374632045968
Nordics;N;Yes;91-120;6086649;Q4;124.4620991285035
Nordics;Y;No;0-30;9500210;Q4;-20.604959944302767
Nordics;Y;No;31-60;2695911;Q4;-65.75230541523993
Nordics;Y;Yes;0-30;3598886;Q4;107.12289056134989
Nordics;Y;Yes;120+;4443938;Q4;88.2571214149786
Nordics;Y;Yes;31-60;3903693;Q4;112.98515403265976
Nordics;Y;Yes;61-90;8795469;Q4;72.41518382463067
Nordics;Y;Yes;91-120;3009233;Q4;128.62033627461992
Cyprus;Y;No;0-30;7819327;Q4;-8.799316998824123
Cyprus;Y;No;31-60;959437;Q4;22.99207798766929
Cyprus;Y;Yes;0-30;5698476;Q4;101.51563690235834
Cyprus;Y;Yes;120+;4428601;Q4;107.04586176861508
Cyprus;Y;Yes;31-60;1986316;Q4;95.87727018458783
Cyprus;Y;Yes;61-90;6891385;Q4;130.41669090555246
Cyprus;Y;Yes;91-120;6521660;Q4;144.39511410457504
Nordics;Y;No;0-30;16478733;Q4;111.26984219008463
Nordics;Y;No;31-60;6446074;Q4;25.288430576649382
Nordics;Y;Yes;0-30;9303228;Q4;130.16603170017262
Nordics;Y;Yes;120+;1108082;Q4;120.72114969788672
Nordics;Y;Yes;31-60;7021462;Q4;137.1613866421209
Nordics;Y;Yes;61-90;9153359;Q4;123.31651800729482
Nordics;Y;Yes;91-120;2472441;Q4;133.03907781526647
UK;N;No;0-30;281861853;Q4;74.91467956388684
UK;N;No;120+;1229342;Q4;-74.32934831485817
UK;N;No;31-60;56563471;Q4;-99.2149096965822
UK;N;No;61-90;3959256;Q4;11.430706859619022
UK;N;No;91-120;3323396;Q4;65.94764358559645
UK;N;Yes;0-30;46854984;Q4;127.76883082109441
UK;N;Yes;120+;14875912;Q4;102.70110164065451
UK;N;Yes;31-60;48345166;Q4;130.82722831749578
UK;N;Yes;61-90;18954532;Q4;152.64545397985918
UK;N;Yes;91-120;9849890;Q4;114.90924811333218
Italy;N;No;0-30;155275818;Q4;-90.26757871615104
Italy;N;No;120+;11667776;Q4;-24.382054541563
Italy;N;No;31-60;115979672;Q4;156.28412261239976
Italy;N;No;61-90;36441548;Q4;-42.033248663973275
Italy;N;No;91-120;10393528;Q4;40.43308115491876
Italy;N;Yes;0-30;-23888189;Q4;-525.7400674356381
Italy;N;Yes;120+;73350103;Q4;109.63320550532873
Italy;N;Yes;31-60;9044264;Q4;105.40657332374506
Italy;N;Yes;61-90;36450495;Q4;125.02367787177835
Italy;N;Yes;91-120;37054487;Q4;106.05458419440428
Iberia;N;No;120+;6801098;Q4;46.483941596397095
Iberia;N;No;61-90;3821381;Q4;-49.05812774474937
Iberia;N;No;91-120;1728789;Q4;-160.2170856477934
Iberia;N;Yes;0-30;12005312;Q4;104.39800304556942
Iberia;N;Yes;120+;11113445;Q4;78.51304636714767
Iberia;N;Yes;61-90;14036512;Q4;116.18510154710519
CISregion;N;No;0-30;202834715;Q4;121.64410421573888
CISregion;N;No;31-60;45978515;Q4;25.306319001868168
CISregion;N;No;61-90;16666196;Q4;-33.93211338212491
CISregion;N;No;91-120;1847255;Q4;-31.00078532320171
CISregion;N;Yes;0-30;952511;Q4;140.57423875492944
CISregion;N;Yes;120+;4481518;Q4;113.08623159414068
CISregion;N;Yes;31-60;16136674;Q4;112.30621202161859
CISregion;N;Yes;61-90;5042801;Q4;88.40798542211655
CISregion;N;Yes;91-120;9573938;Q4;107.18789122249055
UK;Y;No;0-30;56414514;Q4;34.96107498628052
UK;Y;No;31-60;4741083;Q4;2.482617939142296
UK;Y;Yes;0-30;-7699227;Q4;-500.45964505529935
UK;Y;Yes;120+;12845912;Q4;122.90622279404127
UK;Y;Yes;31-60;29117151;Q4;94.06333060020567
UK;Y;Yes;61-90;2436875;Q4;68.81962003929185
UK;Y;Yes;91-120;6427494;Q4;126.38061937434767
Italy;Y;No;0-30;43181335;Q4;135.35582086627682
Italy;Y;No;31-60;9034882;Q4;248.9684689408034
Italy;Y;Yes;0-30;254273;Q4;101.0967522067157
Italy;Y;Yes;120+;6373977;Q4;122.61404014971137
Italy;Y;Yes;31-60;12528380;Q4;105.35794332294967
Italy;Y;Yes;61-90;1866210;Q4;133.2778954091742
Italy;Y;Yes;91-120;2688598;Q4;134.50038912684198
Iberia;Y;No;0-30;10936211;Q4;1.5060304825421635
Iberia;Y;No;31-60;6204723;Q4;100.28430635026588
Iberia;Y;No;61-90;3667209;Q4;155.38129078994882
Iberia;Y;Yes;0-30;7513867;Q4;92.85225413072389
Iberia;Y;Yes;31-60;6389952;Q4;118.49058693541153
Iberia;Y;Yes;61-90;3594802;Q4;108.08115576924476
CISregion;Y;No;0-30;7026710;Q4;236.31839768739079
CISregion;Y;No;31-60;4714166;Q4;121.08134766549976
CISregion;Y;No;61-90;1346045;Q4;-14.503186734530457
CISregion;Y;No;91-120;2346768;Q4;-38.51410512354786
CISregion;Y;Yes;0-30;-3043828;Q4;-501.34258134648076
CISregion;Y;Yes;120+;-403721;Q4;-533.2353511908448
CISregion;Y;Yes;31-60;-700743;Q4;-500.7574423377556
UK;N;No;0-30;7530000;Q4;36.48866919228669
UK;N;No;31-60;5048555;Q4;-140.9503602897932
UK;N;Yes;0-30;4265234;Q4;102.03470038080211
UK;N;Yes;120+;9688321;Q4;70.07499524138976
UK;N;Yes;31-60;8592353;Q4;109.4093051079323
UK;N;Yes;61-90;7001534;Q4;106.66207543716656
UK;N;Yes;91-120;9131706;Q4;116.42073264712542
Nordics;N;No;0-30;35053855;Q4;16.57022208021014
Nordics;N;No;31-60;497936;Q4;105.78744416504244
Nordics;N;Yes;0-30;8376787;Q4;100.92863148569666
Nordics;N;Yes;120+;8957121;Q4;103.31666824677338
Nordics;N;Yes;31-60;9898730;Q4;121.04802394242338
Nordics;N;Yes;61-90;2802848;Q4;110.47862170195793
Nordics;N;Yes;91-120;6993008;Q4;89.65914218874246
JV;N;No;0-30;16584654;Q4;-34.4295611576988
JV;N;No;31-60;8889768;Q4;63.71782832254441
JV;N;No;61-90;10542083;Q4;111.24710652254988
JV;N;Yes;0-30;6498736;Q4;122.2558523181452
JV;N;Yes;120+;8964049;Q4;151.3608965997977
JV;N;Yes;31-60;1794302;Q4;86.2794308087212
JV;N;Yes;61-90;129875;Q4;94.65126815133142
JV;N;Yes;91-120;2846987;Q4;93.5690936514636
UK;Y;No;0-30;55311715;Q4;-69.87248519388122
UK;Y;No;31-60;20625796;Q4;-125.43637734683497
UK;Y;No;61-90;16568711;Q4;-99.60867239770141
UK;Y;No;91-120;17132912;Q4;-44.79258447277105
UK;Y;Yes;0-30;5011793;Q4;86.16125129253489
UK;Y;Yes;120+;26522767;Q4;133.69628842899863
UK;Y;Yes;31-60;6474152;Q4;159.14519085543165
UK;Y;Yes;61-90;5109101;Q4;111.82603836338812
UK;Y;Yes;91-120;8395553;Q4;92.931668815213
Nordics;Y;No;0-30;20904673;Q4;-24.09676344625832
Nordics;Y;No;31-60;10393283;Q4;81.47550296465941
Nordics;Y;No;61-90;1896458;Q4;35.57369501159683
Nordics;Y;No;91-120;3503351;Q4;207.82592759863974
Nordics;Y;Yes;0-30;7080379;Q4;126.2626997483697
Nordics;Y;Yes;120+;15691608;Q4;111.62921489991503
Nordics;Y;Yes;31-60;14057860;Q4;102.39962275319603
Nordics;Y;Yes;61-90;5922382;Q4;106.01964002247749
Nordics;Y;Yes;91-120;6239847;Q4;95.65957698860404
JV;Y;No;0-30;256164953;Q4;-57.28216136752144
JV;Y;No;31-60;20063000;Q4;135.81450504701291
JV;Y;No;61-90;24075803;Q4;76.14750596814528
JV;Y;Yes;0-30;2558906;Q4;112.52518208381048
JV;Y;Yes;120+;11306477;Q4;58.87456593580221
JV;Y;Yes;31-60;82066912;Q4;83.2241878785959
JV;Y;Yes;61-90;6208793;Q4;154.1135233494365
JV;Y;Yes;91-120;10846065;Q4;115.47830924358453
Iberia;N;No;0-30;11334756;Q4;32.806867401952644
Iberia;N;No;120+;9226207;Q4;-61.968198409737
Iberia;N;No;31-60;3380694;Q4;15.88168925075319
Iberia;N;No;61-90;6419001;Q4;-134.06412897666777
Iberia;N;No;91-120;6885189;Q4;137.5568214258347
Iberia;N;Yes;0-30;1127113;Q4;89.81292303055218
Iberia;N;Yes;120+;4503913;Q4;89.8353105775725
Iberia;N;Yes;31-60;9275403;Q4;102.48871411955572
Iberia;N;Yes;61-90;8143444;Q4;136.44781769278865
Iberia;N;Yes;91-120;3418813;Q4;109.14256509027632
France;N;No;0-30;13101004;Q4;-24.12628058291131
France;N;No;120+;8672898;Q4;85.44816994199721
France;N;No;31-60;15967151;Q4;42.41801195094165
France;N;No;61-90;8570245;Q4;-18.07130747644743
France;N;No;91-120;2132184;Q4;-41.727321387550745
France;N;Yes;0-30;1785290;Q4;155.41067629715036
France;N;Yes;120+;5444768;Q4;131.70752411808425
France;N;Yes;31-60;3647071;Q4;78.49225309687476
France;N;Yes;61-90;10232275;Q4;116.94824345605062
France;N;Yes;91-120;5643295;Q4;115.8755238670071
UK;N;No;0-30;64185859;Q4;18.239325939051287
UK;N;No;120+;7877749;Q4;62.6553951723897
UK;N;No;31-60;15198927;Q4;153.06724566309367
UK;N;No;61-90;6750761;Q4;44.66653873749213
UK;N;Yes;0-30;10943087;Q4;59.47360044056
UK;N;Yes;120+;9068990;Q4;86.18870912598405
UK;N;Yes;31-60;24666520;Q4;137.0196453895164
UK;N;Yes;61-90;13315438;Q4;94.64730520778674
UK;N;Yes;91-120;10302828;Q4;98.76658491957481
Iberia;Y;No;0-30;9864824;Q4;77.0506659145259
Iberia;Y;Yes;0-30;5746162;Q4;121.3696926487342
Iberia;Y;Yes;120+;7965644;Q4;131.26889096915056
Iberia;Y;Yes;31-60;9853133;Q4;119.0061711010005
Iberia;Y;Yes;61-90;5616687;Q4;125.05127646874284
Iberia;Y;Yes;91-120;9700599;Q4;127.26596664085616
France;Y;No;0-30;8873989;Q4;14.883167466405283
France;Y;No;31-60;4904282;Q4;102.11148460524659
France;Y;Yes;120+;4442566;Q4;105.69148095413804
France;Y;Yes;31-60;3519312;Q4;90.83438533570921
France;Y;Yes;61-90;8795096;Q4;132.47350751730508
France;Y;Yes;91-120;1212520;Q4;107.85142152671094
UK;Y;No;0-30;18909982;Q4;-57.480728729761054
UK;Y;Yes;120+;9720948;Q4;102.58523156679104
UK;Y;Yes;31-60;3964220;Q4;110.28096599970559
Adriatic;N;No;0-30;10081572;Q4;-28.33592851276008
Adriatic;N;No;120+;918352;Q4;47.73098182836012
Adriatic;N;No;31-60;7227487;Q4;116.76133268775924
Adriatic;N;No;61-90;3850161;Q4;113.67418784604688
Adriatic;N;No;91-120;3838187;Q4;156.04254852550255
Adriatic;N;Yes;0-30;1292804;Q4;107.95216435502721
Adriatic;N;Yes;120+;7002277;Q4;134.9966512797074
Adriatic;N;Yes;31-60;9795175;Q4;135.34465887256448
Adriatic;N;Yes;61-90;2296640;Q4;104.28850592004878
Adriatic;N;Yes;91-120;5636389;Q4;107.52274994150805
Adriatic;Y;No;0-30;10419874;Q4;134.8122419707919
Adriatic;Y;Yes;0-30;986703;Q4;125.14676901897965
Adriatic;Y;Yes;120+;2468230;Q4;130.48231724060622
Adriatic;Y;Yes;31-60;2635187;Q4;114.93200200517232
Adriatic;Y;Yes;61-90;191345;Q4;121.38975702522788
Adriatic;Y;Yes;91-120;4785574;Q4;112.76628736905744
Belgium;N;No;0-30;49728001;Q4;9.185724568888975
Belgium;N;No;120+;5348681;Q4;24.400075896390966
Belgium;N;No;31-60;20696961;Q4;-69.9996250527288
Belgium;N;No;61-90;6839050;Q4;-85.94215931353371
Belgium;N;No;91-120;9662852;Q4;92.58463072171382
Belgium;N;Yes;0-30;8349285;Q4;132.46802668125082
Belgium;N;Yes;120+;14963419;Q4;163.94810380090775
Belgium;N;Yes;31-60;16003872;Q4;117.95516275546947
Belgium;N;Yes;61-90;19664739;Q4;107.23208866351057
Belgium;N;Yes;91-120;11012422;Q4;145.55439422658773
UK;N;No;0-30;18001581;Q4;29.060132384847716
UK;N;No;120+;7429915;Q4;-59.056171013292456
UK;N;No;31-60;4770553;Q4;-180.47799781412428
UK;N;No;61-90;5028160;Q4;54.947784925919564
UK;N;No;91-120;3415668;Q4;-107.64271125867015
UK;N;Yes;0-30;9902044;Q4;108.99717802449197
UK;N;Yes;120+;4206574;Q4;112.56027997979385
UK;N;Yes;31-60;3548877;Q4;116.45838605749798
UK;N;Yes;61-90;3817937;Q4;125.33333680021815
UK;N;Yes;91-120;6981227;Q4;169.18166070070845
Belgium;Y;No;0-30;8994630;Q4;159.07246390023596
Belgium;Y;Yes;120+;1854743;Q4;112.21371633239382
Belgium;Y;Yes;31-60;4864885;Q4;126.34428263546015
Belgium;Y;Yes;61-90;3362271;Q4;105.80990867516047
Belgium;Y;Yes;91-120;5191760;Q4;108.53807491289894
UK;Y;No;0-30;9291911;Q4;139.8692695538289
UK;Y;Yes;120+;3701605;Q4;112.12713617342737
UK;Y;Yes;31-60;2956005;Q4;107.30989066754975
UK;Y;Yes;91-120;3953413;Q4;104.53309040203015
Iberia;N;No;0-30;11499719;Q4;-0.33061763722049875
Iberia;N;No;31-60;12378878;Q4;-15.88766358625433
Iberia;N;No;61-90;11662081;Q4;-76.43962468793005
Iberia;N;Yes;0-30;3603853;Q4;118.3014496117406
Iberia;N;Yes;31-60;2759644;Q4;116.4539174338764
Iberia;N;Yes;61-90;10181872;Q4;116.26204975837926
Iberia;N;Yes;91-120;7098104;Q4;114.53836837022277
UK;N;No;91-120;2482836;Q4;148.7982068076851
Iberia;Y;No;0-30;4906691;Q4;68.81832492257696
Iberia;Y;No;31-60;10199818;Q4;-68.04674102275496
UK;Y;Yes;61-90;8559105;Q4;102.18520431810713
UK;Y;Yes;91-120;9682531;Q4;153.9695099642325
Austria;N;No;0-30;28523825;Q4;90.95068568763779
Austria;N;No;120+;8814724;Q4;34.71257563322439
Austria;N;No;31-60;7878752;Q4;115.47084195601023
Austria;N;No;61-90;8443719;Q4;76.45405105137027
Austria;N;No;91-120;7482643;Q4;38.98998596644651
Austria;N;Yes;0-30;7147911;Q4;112.85678760005337
Austria;N;Yes;120+;3179560;Q4;145.651371460337
Austria;N;Yes;31-60;11346173;Q4;86.0497113888452
Austria;N;Yes;61-90;5449462;Q4;92.18470396519939
Austria;N;Yes;91-120;8034261;Q4;80.99639007266815
CEE;N;No;0-30;19649936;Q4;-61.224349972880646
CEE;N;No;31-60;7239890;Q4;-174.36004621300248
CEE;N;No;61-90;5014380;Q4;122.43808268731652
CEE;N;Yes;0-30;947006;Q4;115.66137791312823
CEE;N;Yes;120+;7282803;Q4;116.723880617666
CEE;N;Yes;31-60;14398237;Q4;112.15994546434364
CEE;N;Yes;61-90;6894073;Q4;139.79494902906274
CEE;N;Yes;91-120;466683;Q4;135.2455560834436
CEE;N;No;0-30;57773510;Q4;-60.57798614663781
CEE;N;No;31-60;32492475;Q4;-16.87160275429395
CEE;N;No;61-90;10257086;Q4;-59.16238476097482
CEE;N;Yes;0-30;7128646;Q4;135.69734583493928
CEE;N;Yes;120+;7991279;Q4;108.34287031461336
CEE;N;Yes;31-60;19657998;Q4;122.00082739821462
CEE;N;Yes;61-90;7937983;Q4;113.4355765942514
CEE;N;Yes;91-120;8560702;Q4;114.62694523822984
JV;N;No;0-30;5305292;Q4;41.25928418740302
JV;N;No;31-60;3489918;Q4;-62.07547521596405
JV;N;No;61-90;3498849;Q4;-29.727411303386553
JV;N;Yes;0-30;3801189;Q4;132.72044383087157
JV;N;Yes;120+;844897;Q4;104.68000447475697
JV;N;Yes;31-60;1985910;Q4;129.55379058576898
JV;N;Yes;61-90;4333080;Q4;121.30593219843527
JV;N;Yes;91-120;9649025;Q4;99.20014281913635
Austria;Y;No;0-30;16068487;Q4;122.24492148860477
Austria;Y;Yes;0-30;5107832;Q4;107.57797785574083
Austria;Y;Yes;120+;337180;Q4;96.65522103279994
Austria;Y;Yes;31-60;4155604;Q4;68.82247737148897
Austria;Y;Yes;61-90;3444662;Q4;95.79523995318121
Austria;Y;Yes;91-120;1223687;Q4;135.49715599754006
CEE;Y;No;0-30;31789236;Q4;-68.19995847003102
CEE;Y;No;31-60;2342255;Q4;54.64605565076406
CEE;Y;Yes;120+;3668496;Q4;120.06896189633991
CEE;Y;Yes;31-60;5381489;Q4;106.78459269713078
CEE;Y;Yes;61-90;2994535;Q4;130.22724114953635
CEE;Y;Yes;91-120;9381049;Q4;137.11074292457073
CEE;Y;No;0-30;30680067;Q4;165.03712518647527
CEE;Y;No;31-60;4758608;Q4;181.23753864165835
CEE;Y;Yes;0-30;2245309;Q4;108.175848926726
CEE;Y;Yes;120+;2744259;Q4;123.74101141475663
CEE;Y;Yes;31-60;4819165;Q4;147.9177137532536
CEE;Y;Yes;61-90;9349891;Q4;132.22154798673537
CEE;Y;Yes;91-120;4699094;Q4;111.17406996886204
JV;Y;No;0-30;10213222;Q4;138.52716021628595
JV;Y;No;31-60;5439126;Q4;-46.958867076596945
JV;Y;Yes;0-30;256418;Q4;113.78911198539274
JV;Y;Yes;120+;2880875;Q4;141.80533849863954
JV;Y;Yes;31-60;7808717;Q4;136.80727007339783
JV;Y;Yes;61-90;6831954;Q4;108.92929465941467
JV;Y;Yes;91-120;1492129;Q4;117.54559493118016
Nordics;N;No;0-30;13716280;Q4;37.9600281296374
Nordics;N;No;120+;7190741;Q4;96.72394434802925
Nordics;N;No;31-60;4254978;Q4;5.854274727371257
Nordics;N;No;61-90;1678419;Q4;111.80895257296072
Nordics;N;No;91-120;8691605;Q4;-11.594525387026378
Nordics;N;Yes;0-30;4880001;Q4;94.22032111302595
Nordics;N;Yes;120+;630729;Q4;126.25555035668957
Nordics;N;Yes;31-60;3509772;Q4;110.75632587079966
Nordics;N;Yes;61-90;9745747;Q4;98.06232125138837
Nordics;N;Yes;91-120;4703706;Q4;161.1003600657022
Switzerland;N;No;0-30;12988485;Q4;-85.77796170337095
Switzerland;N;No;120+;6935491;Q4;-138.64356913384472
Switzerland;N;No;31-60;7691319;Q4;-95.86833878555099
Switzerland;N;No;61-90;8780645;Q4;-0.1480714435163346
Switzerland;N;No;91-120;6746570;Q4;58.412566113956316
Switzerland;N;Yes;0-30;7892459;Q4;81.41921749118463
Switzerland;N;Yes;120+;7943159;Q4;128.03935080314412
Switzerland;N;Yes;31-60;6498685;Q4;95.80106472084337
Switzerland;N;Yes;61-90;11651481;Q4;94.24201537612859
Switzerland;N;Yes;91-120;6827945;Q4;160.2480921968379
JV;N;No;0-30;7307651;Q4;-186.62621853618765
JV;N;No;120+;9248335;Q4;33.275954077253004
JV;N;No;31-60;8735418;Q4;-67.61368984404328
JV;N;No;61-90;4272890;Q4;-0.20768466342762082
JV;N;No;91-120;6692351;Q4;-24.90600805908951
JV;N;Yes;0-30;2760173;Q4;80.8974195629677
JV;N;Yes;120+;3598753;Q4;87.55236591550594
JV;N;Yes;31-60;8861765;Q4;128.5456225498762
JV;N;Yes;61-90;4834903;Q4;75.15170295886948
JV;N;Yes;91-120;1669328;Q4;100.08043675623702
