DayOfWeek; HourOfDay; Event_cat; Company_cat; UserID_cat; MaterialName_cat; DeliveryStatus
3; 8; Delivery change: billing date; FR01; PORFCUSER; TENA Pants Plus Large, 4x14p, INT; 1
3; 8; Delivery change: billing date; FR01; PORFCUSER; TENA Pants Plus Medium, 4x14p, INT; 1
2; 8; Delivery change: stat. goods mov. date; FR01; PORFCUSER; TENA Wash Cream, 10x500ml; 1
1; 19; Delivery change: stat. goods mov. date; DE13; PORFCUSER; ZEWA WW 9/2-R FnDsgn Mickey Q3/18 PEFC; 1
2; 21; Shipping change: itinerary date; FR01; HYT_WMS_WP1; MIMOSA BRT 7/6R 5P White PEFC EU; 1
4; 2; Invoice; DE13; HYB_BATCHMAN; TENA Comfort Original Plus 2x46 pcs INT; 1
2; 9; Order; FR01; PORFCUSER; Tork Ind Cleaning Cloth Grey Handy Box; 1
4; 23; Shipment; FR01; PORFCUSER; TENA Silhouette Normal Large 6x10p; 1
6; 23; Shipping change: itinerary date; FR01; HYB_BATCHMAN; TENA Bed Plus 60x40, 4x40p INT/IT; 1
5; 7; Shipping change: itinerary date; DE13; DEDSTWA; TENA Pants Original Normal M, 4x18p, DE; 1
3; 14; Delivery; FR01; FRHJEBU; LOTUS Moist TP 16/1*42-1Ply Sensitive; 1
1; 8; Delivery change: volume; FR01; PORFCUSER; TENA Slip Maxi Medium 3x24p, INT/IT; 1
5; 6; Shipping change: date ship. compl.; DE13; PORFCUSER; ZEWA Samtig-STD Toipa 7/8-R 3-p PEFC; 1
2; 6; Shipping change: date ship. compl.; DE13; PORFCUSER; ZEWA BewrtKam 7/8-R 150SH 3p Q1/18 PEFC; 1
4; 11; Order; DE13; HYB_BATCHMAN; TENA Lady Normal 6x12p, DE SRP; 1
2; 9; Shipping change: name carrier; FR01; PORFCUSER; MIMOSA HHT COMPACT 75/4R 2-P White FSC; 1
1; 14; Shipment; FR01; FRHMIDP; LOTUS Xxl BRT 7/6-R 2Ply White; 1
4; 8; Order; DE27; HYB_BATCHMAN; Tork C-fold Hand Towel  Adv 2p; 1
3; 16; Shipping change: name carrier; FR01; PORFCUSER; ECO+ TP Compact 7/4-R 2ply PINK; 1
3; 15; Shipping change: itinerary date; FR01; HYT_WMS_WP1; MIMOSA HHT COMPACT 105/3R 2P Printed FSC; 1
3; 11; Delivery; FR01; FRHMOKH; Tork Xpress XSoft Multifold HT Prem 2p M; 0
2; 0; Invoice; FR01; HYB_BATCHMAN; DEMAKUP Cotton Sensitive Round 35/93; 1
3; 7; Delivery change: billing date; FR01; PORFCUSER; TENA Flex Plus Medium 3x30p, INT; 1
3; 10; Delivery; FR01; FRBISMA; OKAY Xxl HHT 80/4-R 2Ply Des.; 1
1; 9; Delivery; DE13; DELTHGR; DM SoftSicher HA 14/30x10 Flamingo FSC; 1
5; 10; Sales Doc. change: stat.req.date; FR01; FRHIRSA; MIMOSA TP 124/9-R 140SH 3-Ply Pink PEFC; 1
4; 16; Shipping change: itinerary date; FR01; PORFCUSER; TENA Flex Maxi Small 3x22pcs, INT; 1
4; 8; Order; DE13; HYB_BATCHMAN; TEMPO Verwohnmom Shea MTT 8/2*42 FSC; 1
5; 8; Delivery change: billing date; FR01; PORFCUSER; TENA Pants Normal Medium 4x18p, NEU; 1
2; 11; Delivery change: stat. goods mov. date; DE13; PORFCUSER; TENA Lady Discreet Norm 6x12p + wobbler; 1
3; 8; Shipping change: itinerary date; DE13; PORFCUSER; ZEWA W&W HHT 12/4-R Sprb Q2/18 PEFC; 1
2; 8; Delivery; DE13; DEHSTSZ; TENA Comfort Original Normal 3x42p, INT; 1
2; 8; Delivery change: stat. goods mov. date; FR01; PORFCUSER; TENA Flex Super Medium 3x30p, INT; 1
2; 0; Invoice; FR01; HYB_BATCHMAN; TENA Slip Maxi Large 3x24p, INT; 1
1; 9; Delivery change: volume; FR01; PORFCUSER; TENA Pants Plus XL, 4x12p, INT; 1
2; 10; Shipment; FR01; FRHSAHJ; SV ARO C&C 29x32/1 P4 BLANC 1600pcs; 1
4; 14; Sales Doc. change: delivery block; FR01; FRHMOKH; Tork DinnerNap 2P 4F Grey 150/12; 1
3; 0; Invoice; DE27; HYB_BATCHMAN; Tork Mini Singlefold HT Starter Pack; 1
3; 15; Delivery; FR01; FRHSECF; TENA Wash Glove 6x200pcs; 1
5; 9; Delivery change: stat. goods mov. date; DE13; DEDSTWA; TENA Men Prot. Shield, Level 0 8x14p INT; 1
4; 11; Sales Doc. change: net price; FR01; FRHMOKH; Tork Xpress Multifold Hand Towel Disp Wh; 0
6; 1; Invoice; DE13; HYB_BATCHMAN; TENA Lady Extra 6x10p SRP + wobbler; 1
6; 1; Invoice; FR01; HYB_BATCHMAN; TENA Pants Plus Large, 4x14p, INT; 1
3; 9; Delivery change: goods movement date; DE13; DEDHEFI; TENA Flex Super Medium 3x30p, INT; 0
1; 9; Shipping change: name carrier; FR01; PORFCUSER; SUBLIMO HHT 144/3-R 2-Ply New Dec Comp; 1
3; 0; Invoice; FR01; HYB_BATCHMAN; TENA Wash Glove 6x200pcs; 1
2; 11; Shipping change: name carrier; DE13; PORFCUSER; DM Sanft+Sicher TP 5/6-R 129SH 5ply FSC; 1
5; 12; Shipping change: itinerary date; DE13; PORFCUSER; DM S&S FA Box 12/110SH 4P Design 18 FSC; 1
2; 14; Delivery change: billing date; FR01; PORFCUSER; Tork Basic Paper Cfeed M2 2 ply; 1
1; 17; Shipping change: itinerary date; DE27; HYB_BATCHMAN; Tork Extra Mild Liquid Soap, 1000ml; 1
3; 10; Shipping change: itinerary date; DE13; PORFCUSER; DEMAKUP Cotton Sensitive Round 28/60; 1
4; 0; Invoice; DE13; HYB_BATCHMAN; ZEWA W&W HHT RW 36/16-R Q2/18 PEFC; 1
1; 10; Order; DE13; PORFCUSER; TENA Comfort Original Super 2x36p,INT; 1
5; 12; Shipping change: name carrier; FR01; PORFCUSER; AUCHAN TP 6/16-R 2P White FSC EU Flower; 1
2; 19; Delivery change: stat. goods mov. date; FR01; HYT_WMS_WP1; MIMOSA HHT COMPACT 105/3R 2P Printed FSC; 1
4; 12; Sales Doc. change: delivery block; FR01; FRHELMB; SYSTeME U BRT 8/12R 2P Pink FSC EU; 1
3; 11; Sales Doc. change: delivery block; FR01; FRHHADI; LOTUS jessuie HHT 16/3R 3P White FSC; 1
3; 15; Shipment; FR01; PORFCUSER; TENA Flex Plus Large 3x30p, INT; 1
2; 14; Delivery; FR01; FRBISMA; SYSTEME U BRT 8/12-R 3-Ply Pink FSC EU; 1
5; 16; Delivery change: country of origin; FR01; HYT_WMS_WP1; ECO+ HHT Compact 105/3 R 2Ply White; 1
5; 8; Delivery; DE13; DEHSTSZ; TENA Comfort Mini Super 6x30p Neu; 1
2; 0; Invoice; FR01; HYB_BATCHMAN; LOTUS Just1 TP 7/6-R 5 ply; 1
4; 22; Delivery change: stat. goods mov. date; FR01; PORFCUSER; LOTUS Baby Touch 5 (jr) 6x36p, FSC; 1
5; 23; Shipping change: itinerary date; FR01; HYB_BATCHMAN; TENA Wash Cream, 10x500ml; 1
5; 16; Delivery change: goods movement date; DE13; DEHMYWA; TENA MEN Light Level 1, 6x24p, Int; 1
3; 0; Invoice; DE27; HYB_BATCHMAN; Tork Xpress Multifold Hand Towel Disp Wh; 1
5; 4; Shipping change: itinerary date; DE13; DEDFESC; TENA Comfort Extra, 2x40 pcs, INT/IT; 1
6; 5; Delivery change: goods movement date; FR01; PORFCUSER; Tork Ind. HeavyDuty Wiping Paper Blue W4; 0
2; 10; Shipment; DE13; DEHSARO; BESS ClassicTP 54/24-R 150SH 3p Std PEFC; 1
2; 10; Delivery; FR01; FRBERHU; Tork Matic HTR Univ 150m; 0
1; 11; Sales Doc. change: delivery block; FR01; FRHCOIN; MIMOSA Toipa 124/9-R 3Ply White PEFC; 1
3; 14; Shipping change: name carrier; FR01; PORFCUSER; MIMOSA TP126/12-R 2-P Pink PEFC EU Flow; 1
4; 12; Sales Doc. change: delivery block; FR01; FRHVEPA; LOTUS Confort BRT 12/8-R 2Ply White; 1
5; 9; Sales Doc. change: billing block; DE13; DEHMIUL; KOKETT Nord HA 16/30x10 4p FSC Pastell; 1
4; 10; Delivery change: stat. goods mov. date; FR01; PORFCUSER; TENA Flex Maxi Large 3x22p, INT; 1
2; 13; Delivery; FR01; FRHJEBU; LOTUS Confort BRT 8/12-R 2P Pink/White; 1
1; 14; Delivery change: volume; FR01; PORFCUSER; Industrial roll neutral chamois; 1
5; 12; Shipping change: name carrier; DE13; PORFCUSER; DM Babylove S2 6x20p channel FSC 18; 1
4; 8; Delivery; DE13; DEHSTSZ; TENA Comfort Mini Super 6x30p Neu; 1
5; 23; Delivery change: stat. goods mov. date; DE13; DEDFESC; TENA Comfort Original Plus 2x46 pcs INT; 1
4; 8; Delivery; DE13; DEHSTSZ; TENA Comfort Original Super 2x36p,INT; 1
5; 13; Shipment; DE27; PORFCUSER; Tork Matic Blue HTR Adv 2p 150m; 1
1; 15; Sales Doc. change: req. delivery date; DE13; DEHSTSZ; TENA Pants Discreet Medium, 4x12p, INT; 1
5; 12; Order; DE13; DEHSTSZ; TENA Pants Normal S 4x15, vzp 0171930; 1
3; 1; Invoice; FR01; HYB_BATCHMAN; Sodicam Blue, 3-ply, 400, 2*1; 1
2; 10; Delivery change: stat. goods mov. date; DE13; DEDSTWA; TENA Bed Plus Secure Zone 60x90, 4x30pcs; 1
3; 8; Delivery; DE13; DEHSTSZ; TENA Slip Original Plus Small 3x30p INT; 1
4; 11; Delivery; FR01; FRBISMA; SYST U NATURE HHT 7/2=4 blanc FSC EU; 1
2; 14; Sales Doc. change: delivery block; FR01; FRBISMA; SYSTeME U HHT 7/2R=4  COMP. 2P Wht FSC; 1
2; 10; Delivery change: billing date; DE13; DEDSTWA; TENA Men Pants Plus Large, 4x10p; 1
3; 0; Invoice; FR01; HYB_BATCHMAN; MIMOSA HHT Comp 175/2-R White FSC; 1
3; 1; Invoice; FR01; HYB_BATCHMAN; TENA Pants Plus Medium, 4x14p, INT; 1
4; 16; Shipping change: name carrier; FR01; HYB_BATCHMAN; MIMOSA HHT 80/6 R 2P White FSC; 1
3; 8; Order; FR01; PORFCUSER; TENA Pants Plus Night Large, 4x12p; 1
3; 8; Delivery change: stat. goods mov. date; FR01; PORFCUSER; LOTUS Sensitive 15/110 FP 4ply White FSC; 1
3; 0; Invoice; FR01; HYB_BATCHMAN; LOTUS Complete Care HA 18/10x9 4-P 2017; 1
5; 9; Delivery change: goods movement date; FR01; FRHCHOU; TENA Lady Discreet Normal 12x24p FR; 1
1; 9; Delivery change: stat. goods mov. date; FR01; PORFCUSER; LOTUS Compact HA 30/18X7 4 Ply Wht FSC; 1
5; 11; Shipping change: name carrier; DE13; PORFCUSER; DM Babylove Newborn XS 6x24p FSC, 17; 1
3; 0; Invoice; DE13; HYB_BATCHMAN; TENA Men Super Level 3, 6x16p, Int; 1
4; 20; Delivery change: volume; FR01; PORFCUSER; LOTUS Cotton Buds 34/240 Bags; 2
5; 11; Shipping change: name carrier; DE13; PORFCUSER; ZEWA Ultra Soft BRT 3/20-R 150SH 4p PEFC; 1
3; 7; Delivery change: stat. goods mov. date; DE13; PORFCUSER; KOKETT Sued HHT 168/4-R 3-Ply PEFC; 1
5; 18; Delivery change: country of origin; FR01; HYT_WMS_WP1; SYSTeME U BRT 16/6-R 3-ply decore FSC EU; 1
5; 9; Order; FR01; PORFCUSER; SYSTEM U BRT 84/18-R 2P White FSC EU; 1
5; 9; Order; FR01; PORFCUSER; SYSTeME U BRT 8/12R 2P Pink FSC EU; 1
2; 14; Sales Doc. change: delivery block; FR01; FRHPABE28; TENA Men Prot. Sh. Level 0 8x14p +sticke; 1
2; 15; Delivery; FR01; FRHCHLD; TENA Slip Super Large 3x28p INT/IT; 1
1; 23; Shipment; FR01; PORFCUSER; TENA Slip Maxi Large 3x24p, INT; 1
1; 14; Shipment; FR01; FRHMIDP; LOTUS JESSUIE HHT 8/1R 2P Jumbo Wht Eco; 1
5; 14; Sales Doc. change: delivery block; FR01; FRHVEPA; LOTUS Ultra Resist TP 8/6-R 4P White; 1
2; 21; Delivery change: country of origin; FR01; PORFCUSER; Tork SmartOne Twin Mini TR Disp White; 1
1; 8; Delivery change: volume; FR01; PORFCUSER; TENA Bed Super 60x90, 4x35p INT/IT; 1
2; 11; Shipment; DE13; DEHOLMU; EDEKA Gut&Genstig TP 9/10-R 200SH 3p FSC; 1
3; 17; Delivery change: stat. goods mov. date; DE13; PORFCUSER; EDEKA Gut&Genstig HHT 168/4-R Handle FSC; 1
4; 20; Shipment; DE27; PORFCUSER; Tork Xpress XSoft Multifold HT Prem 2p M; 2
1; 13; Shipment; FR01; PORFCUSER; NANA Maxi Long sw 16x16pcs; 1
2; 13; Delivery change: goods movement date; FR01; HYT_WMS_WP1; MIMOSA TP 84/12-R  WHT Max PEFC EU Flowe; 1
2; 13; Delivery change: volume; FR01; HYT_WMS_WP1; MIMOSA HHT Comp 175/2-R White FSC; 1
5; 11; Sales Doc. change: delivery block; FR01; FRLAULI; AUCHAN TP 6/16-R 2P White FSC EU Flower; 1
1; 18; Shipping change: name carrier; FR01; PORFCUSER; LOTUS Collection BRT 16/6-R 2P Lilas/Whi; 1
2; 21; Delivery change: stat. goods mov. date; FR01; PORFCUSER; Tork Soft Singlefold HT Adv 2p V fold; 0
5; 6; Delivery change: billing date; DE13; PORFCUSER; TENA Men Pants Plus Large, 2x8p, SRP; 1
1; 17; Shipment; FR01; FRHELBE; MIMOSA HHT Comp 175/2-R White FSC; 1
1; 15; Delivery change: billing date; FR01; PORFCUSER; OKAY Xxl HHT 15/2-R 2Ply White; 1
2; 6; Delivery change: volume; FR01; PORFCUSER; Metro Prof C&C Serv Lunch 2P Grise; 1
3; 1; Invoice; FR01; HYB_BATCHMAN; Metro Prof C&C Serv Lunch 2P Grise; 1
3; 15; Delivery change: volume; FR01; PORFCUSER; Metro Prof C&C Serv Lunch 2P Rouge; 1
3; 23; Shipping change: itinerary date; FR01; HYB_BATCHMAN; TENA Pants Plus Medium, 4x14p, INT; 1
1; 10; Order; FR01; PORFCUSER; NANA Extra Prot Pl Normal 15x26p; 2
1; 16; Delivery change: goods movement date; FR01; PORFCUSER; LIGHTS by TENA Long Liner 12x20p+sticker; 1
2; 10; Order; DE13; HYB_BATCHMAN; ZEWA Deluxe 7/8-R 135SH 4-Ply Std PEFC; 1
2; 17; Delivery change: volume; DE13; PORFCUSER; ZEWA Deluxe TP 63/16-R 135SH 4p Std PEFC; 1
1; 9; Delivery change: goods movement date; DE13; PORFCUSER; DM S&S BRT 126/10x200 3p 2018 DE PEFC; 1
2; 12; Shipment; DE13; DEHAEMI; EDEKA Favora TP DISP 126/10R160SH 4p FSC; 1
3; 16; Shipping change: itinerary date; DE13; PORFCUSER; TENA Men Prot. Shield, Level 0 3x14p DE; 1
2; 15; Shipping change: name carrier; DE13; PORFCUSER; TEMPO S&F HA 12/30x9 4p Q4/17 Broca FSC; 1
2; 17; Shipping change: itinerary date; DE13; PORFCUSER; ZEWA Xtra Dsg W&W HHT 9/2-R Q2/18 PEFC; 1
2; 10; Shipping change: name carrier; FR01; PORFCUSER; MIMOSA Toipa  21/6-R 2P Summer Sun PEFC; 1
5; 7; Delivery change: stat. goods mov. date; FR01; PORFCUSER; TENA Comfort Plus, 2x46 pcs, Int.; 1
3; 8; Shipping change: date ship. compl.; DE13; PORFCUSER; ZEWA Deluxe 7/8-R 135SH 4-Ply Std PEFC; 1
2; 19; Delivery change: stat. goods mov. date; FR01; PORFCUSER; LOTUS Confort BRT 16/6-R 2Ply Pink; 1
3; 17; Shipping change: itinerary date; FR01; HYT_WMS_WP1; ECO+ HHT Compact 105/3 R 2Ply White; 1
1; 17; Shipping change: itinerary date; FR01; PORFCUSER; LOTUS Just1 XXL TP 6/6-R 5 ply; 1
5; 18; Shipping change: name carrier; DE13; PORFCUSER; DM Pl Normal Multi 10x50p Scent; 1
5; 19; Delivery change: volume; DE13; HYT_WMS_WP1; DM Ultra Normal wing ew 16x16pcs Jessa; 1
2; 10; Delivery change: billing date; FR01; PORFCUSER; TENA Bibs 37x68cm M/L, 6x150pcs; 1
1; 15; Delivery change: volume; FR01; PORFCUSER; LOTUS Moltonel Style TP 7/6-R 3-ply; 1
3; 18; Order; FR01; PORFCUSER; LOTUS Baby Touch 4+ (mx+) 6x36p, FSC; 1
2; 19; Shipment; FR01; PORFCUSER; TENA Lady Extra Plus 6x16p B3 FR; 1
5; 17; Shipping change: name carrier; DE13; PORFCUSER; DM Ultra Night Wing ew 12x10p, Jessa; 1
1; 10; Order; FR01; HYB_BATCHMAN; TENA Slip Maxi Medium 3x24p, INT/IT; 1
7; 17; Order; DE13; PORFCUSER; TENA Comfort Mini Super 6x30p Neu; 1
2; 15; Delivery change: goods movement date; FR01; PORFCUSER; TENA Pants Plus Large, 4x14p, INT; 1
5; 8; Shipping change: date ship. compl.; DE27; PORFCUSER; Tork LinStyle DinnerNap ora 4F 50/12; 1
1; 6; Order; DE27; HYB_BATCHMAN; Tork PeakServee Continuous HT Disp Blac; 1
3; 19; Shipping change: date ship. compl.; FR01; PORFCUSER; LOTUS Classic HA 30/15x9 4-P Wht FSC; 1
1; 20; Shipping change: itinerary date; FR01; PORFCUSER; Tork XPN DispNap whi 1P 4F 225/5/8; 1
2; 6; Delivery change: goods movement date; DE13; PORFCUSER; TEMPO MTT 8/2*42 S&Pur Del Rel Q2/18 FSC; 1
2; 8; Delivery change: volume; FR01; PORFCUSER; TENA Silhouette Normal Large 6x10p; 1
6; 0; Invoice; DE27; HYB_BATCHMAN; Tork C-fold Hand Towel Adv 2p; 1
2; 14; Delivery; FR01; FRHJEBU; SYSTeME U BRT 8/12R 2P white FSC EU; 1
3; 8; Delivery change: goods movement date; FR01; PORFCUSER; TENA Comfort Mini Extra 8x28p Neu; 1
5; 13; Shipping change: name carrier; FR01; PORFCUSER; SYSTEME U BRT 8/12-R 3-Ply Pink FSC EU; 1
3; 4; Shipping change: itinerary date; DE27; PORFCUSER; Tork Matic Extra Long Hand Towel Roll; 1
5; 13; Shipping change: name carrier; DE13; PORFCUSER; BESS Deluxe TP 63/20-R 150SH 4p Std PEFC; 1
5; 10; Shipment; FR01; PORFCUSER; TENA Slip Maxi Large 3x24p, INT; 1
1; 8; Delivery; DE13; DEHSTSZ; TENA Flex Super Medium 3x30p, INT; 1
2; 1; Invoice; DE13; HYB_BATCHMAN; TENA Flex Maxi Large 3x22p, INT; 1
5; 14; Delivery change: goods movement date; DE27; PORFCUSER; Tork Long-Lasting Cloth Folded W4; 1
2; 17; Shipping change: itinerary date; FR01; PORFCUSER; OKAY HHT 16/3-R 2Ply Des.; 1
1; 7; Delivery change: volume; FR01; PORFCUSER; TENA Flex Maxi Large 3x22p, INT; 1
2; 22; Delivery change: goods movement date; DE13; DEDFESC; TENA Comfort Super, 2x36pcs, INT.; 1
6; 1; Invoice; DE13; HYB_BATCHMAN; ZEWA Ultra Soft BRT 3/16-R x150 4p PEFC; 1
3; 14; Delivery change: billing date; FR01; PORFCUSER; NANA Maxi Normal wing sw 20x16p; 1
2; 6; Shipping change: date ship. compl.; DE13; PORFCUSER; TEMPO MTT 8/2*42 S&P Kam rel Q3/17 FSC; 1
5; 14; Shipment; FR01; FRHAURE; CARREFOUR Confort TP 7/6R 2P Ocean FSC; 1
6; 0; Invoice; FR01; HYB_BATCHMAN; LOTUS Xxl BRT 7/6-R 2Ply White; 1
4; 10; Shipping change: conditions; DE13; DEXSTRE; TENA Pants Original Normal M, 4x18p, DE; 2
4; 13; Incoming payment; DE27; DEHKLLA; C-fold Hand Towel (Fight); 1
4; 13; Delivery; FR01; FRBISMA; CARREFOUR Confort TP126/12R 2P Ocean FSC; 1
2; 13; Delivery change: billing date; FR01; PORFCUSER; CARREFOUR Confort TP 9/12R 2p Vanill FSC; 1
3; 12; Delivery change: goods movement date; FR01; HYT_WMS_WP1; MIMOSA TP 124/9-R 140SH 3-Ply Pink PEFC; 1
3; 8; Delivery change: stat. goods mov. date; DE13; PORFCUSER; TENA Lady Extra 6x10p SRP + wobbler; 1
6; 23; Shipping change: itinerary date; FR01; HYB_BATCHMAN; TENA Pants Plus Small, 4x14p, INT; 1
5; 10; Shipping change: date ship. compl.; DE13; PORFCUSER; EDEKA Favora Scan TP 7/10-R 160SH 4p FSC; 1
2; 10; Shipping change: conditions; DE13; DEXSTRE; TENA Comfort Super, 2x36pcs, INT.; 1
3; 8; Delivery change: volume; FR01; PORFCUSER; TENA Pants Discreet Large, 4x10p, INT; 1
1; 0; Delivery change: billing date; DE27; PORFCUSER; Tork Singlefold/Cfold Hand Towel Disp Wh; 1
4; 17; Sales Doc. change: delivery block; FR01; FRHMOKH; Tork Facials Prem ES 2p 100; 1
5; 10; Shipping change: name carrier; FR01; PORFCUSER; Tork Conv TR Prem 2p 198s; 1
1; 9; Shipping change: name carrier; FR01; PORFCUSER; SYSTeME U HHT 7/2R=4 COMP Wht FSC 1/2cps; 1
1; 13; Shipping change: name carrier; DE13; PORFCUSER; ZEWA Samtig-STD Toipa 7/8-R 3-p PEFC; 1
3; 15; Delivery change: goods movement date; FR01; PORFCUSER; TENA Soft Wipe 19x30cm, 8x135pcs; 1
2; 12; Order; FR01; HYB_BATCHMAN; TENA Maxi diaper with NW backsheet 4x40p; 1
2; 14; Shipping change: date ship. compl.; FR01; PORFCUSER; Tork CocktNap C&C 2P 4F Black 300/10; 1
1; 10; Delivery change: volume; FR01; HYB_BATCHMAN; NANA Ultra Nrml w.ew 6x28p Std,SRP+stick; 1
1; 17; Shipment; FR01; FRHELBE; MIMOSA TP 84/12-R  WHT Max PEFC EU Flowe; 1
3; 10; Shipping change: name carrier; DE13; PORFCUSER; ZEWA W&W HHT 12/4-R Orig Q2/18 PEFC; 1
2; 10; Shipping change: name carrier; DE13; PORFCUSER; BESS Deluxe TP 63/20-R 150SH 4p Std PEFC; 1
1; 11; Delivery; FR01; FRHALYA; LOTUS Moltonel 92/9-R 3 ply Pk/Wht; 1
3; 17; Order; FR01; FRHFLGA; TENA Flex Maxi Extra Large 3x21p, INT; 1
1; 9; Order; DE13; PORFCUSER; TENA Comfort Original Normal 3x42p, INT; 1
5; 0; Invoice; DE27; HYB_BATCHMAN; Tork Ind Cleaning Cloth Grey Folded W4; 1
1; 9; Order; FR01; HYB_BATCHMAN; TENA Pants Normal Medium 4x18p, NEU; 1
2; 12; Shipping change: itinerary date; FR01; PORFCUSER; Hand Towel Neutral Multifold Zfold 2ply; 1
3; 12; Shipping change: name carrier; DE13; PORFCUSER; TEMPO Base 10/30x10 4p Q2/18 Broca FSC; 1
1; 9; Sales Doc. change: delivery block; FR01; FRHPABE28; LOTUS Confort BRT 4/24-R 2 Ply Pink; 1
5; 0; Shipment; FR01; ESOANCA; Tork Matic Soft  HTR Prem 2p 100m; 1
2; 22; Delivery change: billing date; DE13; DEDFESC; TENA Fix XL, 20x5pcs IT; 1
2; 15; Delivery change: goods movement date; FR01; PORFCUSER; Tork XPN DispNap whi 2P 4F 100/5/8; 1
2; 9; Shipping change: name carrier; FR01; PORFCUSER; OKAY HHT 80/6-R 2Ply White; 1
3; 17; Delivery change: volume; FR01; PORFCUSER; LOTUS Moltonel Style TP 7/6-R 3-ply; 1
3; 20; Delivery change: goods movement date; DE27; PORFCUSER; Tork Facials Prem ES 2p 100; 1
2; 12; Shipment; DE13; DEXKLHE; TENA Bibs 37x68cm M/L, 6x150pcs; 1
4; 10; Delivery change: stat. goods mov. date; DE13; DEDHEFI; TENA Bibs 37x68cm M/L, 6x150pcs; 0
1; 13; Order; DE13; PORFCUSER; TENA Comfort Original Super 2x36p,INT; 1
5; 7; Delivery change: goods movement date; DE13; PORFCUSER; TENA Lady Maxi 6x6p SRP + wobbler; 1
1; 12; Delivery change: goods movement date; FR01; HYT_WMS_WP1; MIMOSA TP 84/12-R  WHT Max PEFC EU Flowe; 1
1; 14; Order; DE13; HYB_BATCHMAN; ZEWA Xtra Dsg W&W HHT 9/2-R Q2/18 PEFC; 1
1; 11; Delivery change: goods movement date; FR01; PORFCUSER; OKAY Xxl HHT 15/2-R 2Ply White; 1
2; 13; Shipment; FR01; DEHEUKE; Tork C-fold Hand Towel Adv 2p; 2
2; 7; Shipping change: name carrier; FR01; PORFCUSER; Tork Basic Paper Cfeed M2 2 ply; 0
3; 17; Delivery change: goods movement date; DE13; PORFCUSER; ZEWA WW 9/2-R FnDsgn Mickey Q3/18 PEFC; 1
1; 2; Delivery change: billing date; DE27; PORFCUSER; Tork Green Singlefold HT Univ 1p V fold; 1
5; 9; Order; FR01; FRHFABR; TENA Slip Maxi XL 3x24p; 1
2; 13; Shipping change: name carrier; DE13; PORFCUSER; ZEWA Smart BRT 9/4R x300Sh White PEFC; 1
5; 11; Delivery change: country of origin; DE27; HYB_BATCHMAN; Tork Foam Soap Stain for Elec D; 1
5; 7; Delivery change: goods movement date; FR01; PORFCUSER; TENA Slip Super Small 3x30p Neutral; 1
2; 8; Delivery change: billing date; FR01; PORFCUSER; Tork Xpress Soft Multifold HT Prem 2p M; 0
1; 8; Delivery change: billing date; FR01; PORFCUSER; TENA Pants Maxi Large, 4x10p, INT; 1
5; 16; Shipping change: date ship. compl.; FR01; PORFCUSER; Tork Reflexe Wiping Paper Plus M3; 1
1; 10; Shipment; DE13; DEXKLHE; TENA Comfort Original Extra 2x40p INT; 1
