nTrades,ROI,PeakPerformance,MeanReturn,MaxLoss,MaxGain,AvgGain,AvgLoss,MaxDrawdown,SharpeRatio,PosReturnPercent,Informed
20,0.05,0.09,0.0004,-0.02,0.03,0.01,-0.01,0.04,1.38,0.6,0.0
20,0.03,0.07,0.0003,-0.04,0.04,0.02,-0.02,0.07,0.51,0.6,0.0
27,-0.05,0,-0.0004,-0.06,0.11,0.02,-0.02,0.25,-0.46,0.41,0.0
27,-0.08,0.01,-0.0007,-0.11,0.09,0.02,-0.02,0.25,-0.69,0.44,0.0
14,-0.1,0.01,-0.0008,-0.05,0.02,0.01,-0.01,0.12,-2,0.29,0.0
14,-0.05,0,-0.0004,-0.04,0.03,0.01,-0.02,0.08,-1.08,0.57,0.0
14,-0.11,0.01,-0.0009,-0.06,0.06,0.02,-0.02,0.14,-1.55,0.29,0.0
18,-0.1,0,-0.0009,-0.05,0.03,0.01,-0.02,0.12,-1.76,0.39,0.0
18,-0.02,0,-0.0001,-0.04,0.04,0.01,-0.01,0.08,-0.33,0.39,0.0
18,-0.05,0,-0.0004,-0.04,0.02,0.01,-0.02,0.07,-1.05,0.56,0.0
15,0.02,0.08,0.0001,-0.03,0.1,0.03,-0.01,0.07,0.19,0.33,0.0
15,0.03,0.09,0.0003,-0.06,0.12,0.03,-0.02,0.1,0.3,0.47,0.0
28,0.38,0.38,0.0032,-0.03,0.29,0.03,-0.01,0.06,1.84,0.61,0.0
28,0.37,0.37,0.003,-0.02,0.28,0.03,-0.01,0.02,1.87,0.57,0.0
22,-0.09,0.03,-0.0007,-0.05,0.03,0.01,-0.01,0.12,-1.8,0.32,0.0
22,-0.17,0,-0.0014,-0.05,0.01,0.01,-0.01,0.17,-3.36,0.32,0.0
24,0.05,0.1,0.0004,-0.04,0.05,0.02,-0.02,0.07,0.68,0.54,0.0
24,0.03,0.07,0.0002,-0.03,0.06,0.02,-0.01,0.07,0.38,0.38,0.0
19,-0.22,0.03,-0.0018,-0.26,0.06,0.02,-0.03,0.32,-1.21,0.37,0.0
19,-0.24,0.03,-0.002,-0.23,0.06,0.02,-0.03,0.34,-1.39,0.37,0.0
19,-0.32,0.01,-0.0027,-0.32,0.07,0.02,-0.04,0.41,-1.44,0.42,0.0
24,-0.12,0.02,-0.001,-0.14,0.05,0.02,-0.03,0.14,-0.95,0.46,0.0
24,-0.16,0.02,-0.0013,-0.13,0.05,0.02,-0.03,0.18,-1.2,0.5,0.0
17,-0.01,0,-0.0001,-0.02,0.03,0.01,-0.01,0.04,-0.39,0.41,0.0
17,-0.13,0.01,-0.0011,-0.09,0.09,0.02,-0.02,0.15,-1.37,0.35,0.0
28,0.52,0.52,0.0043,-0.03,0.32,0.03,-0.01,0.03,2.29,0.64,0.0
28,0.5,0.52,0.0041,-0.07,0.33,0.03,-0.02,0.07,2.09,0.75,0.0
28,0.3,0.42,0.0025,-0.08,0.31,0.04,-0.02,0.12,1.33,0.54,0.0
17,0.11,0.11,0.0009,-0.03,0.05,0.02,-0.01,0.04,1.85,0.59,0.0
17,0.03,0.09,0.0002,-0.05,0.04,0.02,-0.02,0.1,0.46,0.53,0.0
17,-0.1,0,-0.0009,-0.04,0.05,0.02,-0.02,0.14,-1.56,0.35,0.0
17,-0.12,0,-0.001,-0.04,0.05,0.03,-0.02,0.18,-1.88,0.24,0.0
19,-0.22,0.06,-0.0018,-0.26,0.05,0.02,-0.04,0.32,-1.17,0.47,0.0
19,-0.18,0.13,-0.0015,-0.31,0.07,0.02,-0.05,0.37,-0.8,0.53,0.0
19,-0.35,0.06,-0.0029,-0.36,0.05,0.02,-0.05,0.44,-1.35,0.42,0.0
26,0.1,0.1,0.0009,-0.02,0.05,0.02,-0.01,0.05,1.72,0.54,0.0
26,0.02,0.06,0.0002,-0.05,0.05,0.02,-0.01,0.06,0.32,0.42,0.0
26,-0.14,0.05,-0.0012,-0.13,0.05,0.02,-0.02,0.19,-1.14,0.42,0.0
26,0.05,0.13,0.0004,-0.07,0.06,0.01,-0.01,0.08,0.72,0.54,0.0
23,0.14,0.14,0.0011,-0.03,0.05,0.02,-0.01,0.04,2.16,0.65,0.0
23,0.05,0.08,0.0004,-0.05,0.04,0.02,-0.01,0.08,0.85,0.57,0.0
24,0.16,0.18,0.0013,-0.03,0.17,0.02,-0.01,0.06,1.25,0.58,0.0
24,-0.04,0.03,-0.0003,-0.04,0.03,0.01,-0.02,0.07,-0.66,0.54,0.0
24,0.24,0.25,0.002,-0.04,0.14,0.02,-0.01,0.05,2.14,0.67,0.0
14,0,0.14,0,-0.08,0.04,0.02,-0.03,0.14,0.04,0.64,0.0
20,0.08,0.08,0.0007,-0.04,0.05,0.02,-0.01,0.05,1.25,0.6,0.0
20,0.02,0.1,0.0002,-0.04,0.04,0.02,-0.01,0.08,0.32,0.45,0.0
18,0.02,0.04,0.0001,-0.04,0.07,0.02,-0.01,0.05,0.27,0.5,0.0
18,0.03,0.03,0.0003,-0.06,0.04,0.01,-0.02,0.07,0.56,0.67,0.0
21,0.37,0.37,0.0031,-0.03,0.2,0.04,-0.01,0.05,2.34,0.57,0.0
21,0.44,0.44,0.0037,-0.03,0.31,0.05,-0.01,0.05,1.99,0.52,0.0
18,0.09,0.12,0.0007,-0.02,0.05,0.02,-0.01,0.03,1.43,0.44,0.0
18,0.24,0.26,0.0019,-0.02,0.07,0.03,-0.01,0.03,2.72,0.61,0.0
18,0.03,0.08,0.0003,-0.03,0.05,0.02,-0.01,0.05,0.47,0.44,0.0
25,0.13,0.15,0.0011,-0.05,0.06,0.02,-0.01,0.05,1.61,0.52,0.0
25,0.14,0.28,0.0011,-0.12,0.08,0.03,-0.03,0.14,1.05,0.6,0.0
28,-0.14,0,-0.0011,-0.05,0.03,0.01,-0.01,0.19,-2.12,0.39,0.0
28,-0.08,0.01,-0.0007,-0.04,0.05,0.01,-0.02,0.11,-1.16,0.43,0.0
25,-0.02,0.04,-0.0002,-0.04,0.05,0.01,-0.02,0.15,-0.31,0.52,0.0
25,0,0.07,0,-0.06,0.04,0.01,-0.02,0.07,0,0.64,0.0
17,-0.01,0.01,-0.0001,-0.04,0.03,0.01,-0.01,0.05,-0.19,0.47,0.0
17,-0.06,0,-0.0005,-0.05,0.02,0.01,-0.01,0.06,-1.37,0.47,0.0
17,-0.03,0.01,-0.0003,-0.05,0.03,0.01,-0.01,0.11,-0.7,0.41,0.0
20,0.37,0.41,0.003,-0.04,0.27,0.05,-0.01,0.07,1.83,0.5,0.0
20,0.22,0.31,0.0018,-0.09,0.3,0.04,-0.02,0.09,0.98,0.55,0.0
20,-0.18,0.02,-0.0015,-0.11,0.02,0.01,-0.03,0.2,-1.94,0.5,0.0
20,-0.08,0.02,-0.0007,-0.08,0.05,0.01,-0.02,0.1,-1.16,0.4,0.0
22,-0.13,0.01,-0.0011,-0.07,0.04,0.01,-0.03,0.15,-1.61,0.55,0.0
22,-0.08,0.05,-0.0006,-0.06,0.03,0.01,-0.02,0.12,-1.07,0.45,0.0
22,0.06,0.08,0.0005,-0.03,0.05,0.01,-0.01,0.08,0.96,0.55,0.0
16,0.05,0.05,0.0004,-0.04,0.03,0.01,-0.01,0.04,1.26,0.75,0.0
20,0.44,0.44,0.0037,-0.04,0.3,0.04,-0.01,0.05,2.1,0.65,0.0
20,0.38,0.38,0.0031,-0.01,0.27,0.04,-0.01,0.02,1.95,0.6,0.0
20,0.34,0.34,0.0028,-0.03,0.29,0.04,-0.02,0.07,1.64,0.65,0.0
23,-0.11,0.09,-0.0009,-0.28,0.1,0.02,-0.06,0.32,-0.49,0.7,0.0
23,-0.28,0,-0.0023,-0.17,0.05,0.02,-0.03,0.32,-2.01,0.35,0.0
27,-0.02,0,-0.0002,-0.04,0.14,0.03,-0.02,0.23,-0.16,0.33,0.0
27,0.05,0.15,0.0004,-0.06,0.11,0.03,-0.02,0.1,0.44,0.48,0.0
19,-0.01,0.07,-0.0001,-0.05,0.05,0.02,-0.02,0.08,-0.19,0.53,0.0
19,-0.07,0.02,-0.0006,-0.09,0.04,0.02,-0.02,0.15,-0.79,0.37,0.0
24,0.1,0.1,0.0009,-0.03,0.06,0.02,-0.01,0.06,1.44,0.5,0.0
24,-0.09,0.03,-0.0007,-0.04,0.03,0.01,-0.02,0.15,-1.26,0.5,0.0
23,0,0.03,0,-0.06,0.03,0.01,-0.02,0.06,0.06,0.57,0.0
23,-0.02,0.02,-0.0002,-0.05,0.04,0.01,-0.02,0.08,-0.3,0.57,0.0
23,-0.11,0,-0.0009,-0.06,0.02,0.01,-0.02,0.12,-1.75,0.48,0.0
26,0.18,0.23,0.0014,-0.04,0.07,0.02,-0.01,0.05,2.01,0.62,0.0
26,-0.17,0.02,-0.0014,-0.07,0.02,0.01,-0.03,0.19,-1.93,0.58,0.0
15,-0.21,0.09,-0.0017,-0.3,0.04,0.02,-0.06,0.3,-0.98,0.6,0.0
15,-0.24,0,-0.002,-0.22,0.02,0.01,-0.05,0.28,-1.51,0.53,0.0
28,0.25,0.25,0.0021,-0.02,0.06,0.02,-0.01,0.02,3.33,0.68,0.0
28,-0,0.07,-0,-0.08,0.06,0.02,-0.01,0.08,-0.03,0.46,0.0
23,-0.17,0,-0.0014,-0.13,0.05,0.02,-0.02,0.17,-1.59,0.35,0.0
23,-0.22,0,-0.0018,-0.1,0.03,0.01,-0.02,0.22,-2.47,0.35,0.0
23,0.08,0.14,0.0007,-0.06,0.07,0.03,-0.01,0.06,0.92,0.43,0.0
18,0.15,0.15,0.0012,-0.04,0.06,0.02,-0.01,0.05,2.05,0.67,0.0
18,0.08,0.08,0.0007,-0.05,0.06,0.02,-0.02,0.07,1.26,0.67,0.0
19,0,0.03,0,-0.03,0.04,0.01,-0.01,0.08,0.05,0.42,0.0
19,-0.09,0.06,-0.0008,-0.07,0.05,0.02,-0.02,0.17,-1.1,0.47,0.0
23,0.11,0.17,0.0009,-0.04,0.07,0.02,-0.02,0.06,1.5,0.61,0.0
23,0.07,0.16,0.0006,-0.07,0.07,0.02,-0.03,0.09,0.67,0.7,0.0
22,0.03,0.03,0.0002,-0.06,0.03,0.01,-0.01,0.09,0.45,0.59,0.0
22,-0.02,0.01,-0.0001,-0.04,0.03,0.01,-0.01,0.1,-0.31,0.45,0.0
22,-0.03,0,-0.0003,-0.06,0.03,0.01,-0.02,0.12,-0.5,0.59,0.0
21,0.18,0.19,0.0015,-0.06,0.27,0.04,-0.02,0.09,0.9,0.48,0.0
21,0.16,0.16,0.0013,-0.05,0.23,0.03,-0.02,0.11,0.93,0.52,0.0
20,0.01,0.08,0,-0.04,0.03,0.01,-0.01,0.11,0.11,0.5,0.0
20,-0.04,0.05,-0.0003,-0.04,0.04,0.01,-0.02,0.11,-0.58,0.5,0.0
14,-0.15,0,-0.0012,-0.06,0.03,0.01,-0.02,0.15,-2.45,0.36,0.0
14,-0.06,0.01,-0.0005,-0.05,0.04,0.01,-0.03,0.12,-0.93,0.57,0.0
24,0.05,0.05,0.0004,-0.06,0.03,0.01,-0.02,0.08,0.76,0.67,0.0
24,-0.14,0.04,-0.0012,-0.09,0.02,0.01,-0.02,0.18,-1.79,0.42,0.0
15,0.19,0.19,0.0016,-0.01,0.05,0.02,-0.01,0.01,3.58,0.8,0.0
15,0.2,0.2,0.0016,-0.01,0.11,0.02,-0.01,0.01,2.41,0.73,0.0
15,0.11,0.11,0.0009,-0.03,0.05,0.02,-0.01,0.07,1.79,0.53,0.0
23,0.15,0.19,0.0012,-0.04,0.1,0.02,-0.02,0.04,1.56,0.61,0.0
23,0.11,0.15,0.0009,-0.05,0.13,0.02,-0.01,0.05,1.1,0.43,0.0
25,-0.05,0,-0.0005,-0.05,0.04,0.01,-0.02,0.17,-0.7,0.52,0.0
25,-0.06,0,-0.0005,-0.06,0.06,0.02,-0.02,0.11,-0.66,0.4,0.0
18,-0.05,0.03,-0.0005,-0.03,0.03,0.01,-0.01,0.08,-1.24,0.33,0.0
18,-0.01,0.1,-0.0001,-0.02,0.03,0.01,-0.01,0.11,-0.28,0.44,0.0
20,-0.28,0.05,-0.0023,-0.33,0.04,0.02,-0.04,0.33,-1.2,0.5,0.0
20,-0.16,0.05,-0.0013,-0.2,0.04,0.01,-0.04,0.21,-1.04,0.6,0.0
23,0.19,0.19,0.0016,-0.02,0.16,0.03,-0.01,0.06,1.53,0.43,0.0
23,0.2,0.2,0.0016,-0.01,0.17,0.03,-0.01,0.03,1.61,0.48,0.0
23,0.14,0.14,0.0011,-0.02,0.09,0.02,-0.01,0.07,1.53,0.57,0.0
24,0.03,0.04,0.0003,-0.04,0.05,0.02,-0.02,0.07,0.46,0.54,0.0
24,-0.01,0.07,-0.0001,-0.02,0.03,0.01,-0.01,0.08,-0.18,0.5,0.0
20,-0.02,0.03,-0.0002,-0.1,0.05,0.02,-0.02,0.12,-0.23,0.55,0.0
20,-0.05,0,-0.0004,-0.09,0.03,0.01,-0.02,0.11,-0.7,0.6,0.0
6,0.02,0.03,0.0002,-0.02,0.04,0.03,-0.01,0.02,0.64,0.33,0.0
7,0.02,0.04,0.0002,-0.01,0.01,0.01,-0.01,0.02,0.98,0.71,0.0
7,0.02,0.07,0.0002,-0.03,0.04,0.02,-0.01,0.04,0.64,0.57,0.0
3,0.01,0.01,0.0001,-0.01,0.01,0.01,-0.01,0.01,0.61,0.67,0.0
3,-0.04,0,-0.0004,-0.03,0,0,-0.02,0.05,-1.75,0.33,0.0
7,-0.02,0,-0.0001,-0.04,0.01,0.01,-0.02,0.04,-0.58,0.57,0.0
7,0.03,0.05,0.0003,-0.02,0.02,0.01,-0.02,0.02,1.62,0.86,0.0
7,0.02,0.05,0.0002,-0.02,0.02,0.01,-0.01,0.02,0.95,0.71,0.0
4,-0.37,0,-0.003,-0.34,0,0,-0.09,0.37,-1.59,0,0.0
7,-0.07,0,-0.0006,-0.06,0.02,0.01,-0.02,0.09,-1.42,0.29,0.0
7,-0.04,0.02,-0.0003,-0.03,0.01,0.01,-0.01,0.06,-1.28,0.29,0.0
6,0.12,0.12,0.001,-0.02,0.12,0.05,-0.01,0.02,1.43,0.5,0.0
4,-0.02,0,-0.0001,-0.02,0.01,0.01,-0.01,0.03,-1.1,0.25,0.0
4,-0,0.01,-0,-0.02,0.02,0.01,-0.02,0.02,-0.03,0.5,0.0
5,-0.01,0.01,-0.0001,-0.02,0.04,0.02,-0.02,0.02,-0.24,0.4,0.0
5,-0.01,0.01,-0.0001,-0.01,0.02,0.01,-0.01,0.01,-0.44,0.4,0.0
5,-0.02,0,-0.0002,-0.01,0,0,-0.01,0.02,-1.94,0.2,0.0
5,0.03,0.03,0.0002,0,0.01,0.01,0,0,2.79,1,0.0
6,0.1,0.1,0.0008,-0.02,0.05,0.03,-0.01,0.03,1.88,0.67,0.0
6,-0.02,0.04,-0.0001,-0.05,0.04,0.02,-0.03,0.08,-0.31,0.5,0.0
6,-0.02,0.02,-0.0002,-0.03,0.02,0.01,-0.02,0.04,-0.85,0.5,0.0
6,-0.07,0,-0.0006,-0.05,0.01,0,-0.02,0.07,-1.91,0.33,0.0
6,0.01,0.01,0,-0.02,0.02,0.02,-0.01,0.02,0.25,0.33,0.0
6,0,0.01,0,-0.01,0.02,0.01,-0.01,0.01,0.22,0.33,0.0
10,-0.05,0.01,-0.0004,-0.06,0.04,0.02,-0.03,0.08,-0.77,0.4,0.0
7,-0.03,0.01,-0.0002,-0.02,0.01,0,-0.01,0.04,-1.33,0.57,0.0
7,-0.01,0,-0.0001,-0.02,0.01,0.01,-0.01,0.03,-0.43,0.43,0.0
7,-0.02,0.02,-0.0002,-0.02,0.02,0.01,-0.01,0.05,-1.06,0.43,0.0
9,0.03,0.04,0.0002,-0.01,0.02,0.01,-0,0.01,1.53,0.56,0.0
9,0.05,0.06,0.0004,-0.01,0.02,0.01,-0.01,0.01,2.11,0.67,0.0
5,0.02,0.03,0.0001,-0.01,0.02,0.01,-0.01,0.01,0.91,0.6,0.0
5,0.05,0.05,0.0004,-0.01,0.03,0.01,-0.01,0.01,2.01,0.8,0.0
4,-0.01,0.01,-0.0001,-0.01,0.01,0.01,-0.01,0.02,-0.68,0.5,0.0
6,-0.04,0.05,-0.0004,-0.04,0.03,0.02,-0.03,0.1,-0.91,0.5,0.0
6,-0.13,0,-0.0011,-0.05,0.01,0.01,-0.03,0.13,-2.51,0.17,0.0
4,-0.08,0.07,-0.0007,-0.15,0.06,0.04,-0.08,0.15,-0.72,0.5,0.0
4,0.01,0.01,0.0001,-0.02,0.02,0.01,-0.02,0.02,0.32,0.75,0.0
4,0.02,0.02,0.0002,-0.01,0.02,0.02,-0,0.01,1.3,0.5,0.0
2,-0.02,0,-0.0002,-0.02,0,0,-0.01,0.02,-1.53,0,0.0
5,-0.09,0,-0.0007,-0.09,0.01,0,-0.03,0.09,-1.5,0.4,0.0
5,-0.19,0,-0.0016,-0.18,0,0,-0.05,0.19,-1.55,0.2,0.0
3,-0.07,0,-0.0006,-0.06,0.01,0.01,-0.04,0.08,-1.57,0.33,0.0
9,0.11,0.11,0.0009,-0.04,0.05,0.02,-0.03,0.04,1.88,0.78,0.0
9,0.08,0.08,0.0007,-0.03,0.05,0.02,-0.01,0.04,1.61,0.56,0.0
7,-0.05,0,-0.0004,-0.03,0.04,0.04,-0.01,0.09,-1.13,0.14,0.0
7,0.15,0.15,0.0013,-0.01,0.14,0.03,-0.01,0.01,1.56,0.71,0.0
3,0.03,0.04,0.0003,-0,0.04,0.04,-0,0,1.3,0.33,0.0
5,-0.06,0.01,-0.0005,-0.03,0.01,0.01,-0.02,0.06,-2.17,0.2,0.0
5,-0.07,0,-0.0006,-0.07,0.01,0.01,-0.02,0.07,-1.57,0.2,0.0
3,-0.06,0,-0.0005,-0.04,0,0,-0.02,0.06,-2.09,0,0.0
5,-0.03,0.01,-0.0002,-0.01,0.01,0.01,-0.01,0.03,-1.95,0.2,0.0
5,0.01,0.01,0.0001,-0.02,0.02,0.01,-0.01,0.02,0.35,0.6,0.0
7,0.04,0.04,0.0003,-0.02,0.06,0.02,-0.01,0.02,0.96,0.43,0.0
7,-0.04,0,-0.0003,-0.03,0,0,-0.01,0.04,-1.63,0.43,0.0
9,0.04,0.04,0.0003,-0.01,0.03,0.01,-0.01,0.02,1.43,0.67,0.0
5,0.03,0.03,0.0002,-0.03,0.06,0.02,-0.02,0.03,0.65,0.6,0.0
5,0.08,0.08,0.0006,-0.04,0.09,0.04,-0.02,0.04,1.04,0.6,0.0
5,0.02,0.02,0.0001,-0.01,0.02,0.01,-0.01,0.01,0.98,0.6,0.0
10,0.03,0.05,0.0003,-0.01,0.05,0.02,-0.01,0.02,0.84,0.4,0.0
10,0.02,0.02,0.0002,-0.02,0.02,0.01,-0.01,0.03,0.87,0.6,0.0
3,0.02,0.02,0.0001,0,0.01,0.01,0,0,1.98,1,0.0
3,0.01,0.02,0.0001,-0.01,0.03,0.03,-0.01,0.01,0.6,0.33,0.0
6,-0.02,0,-0.0002,-0.01,0,0,-0.01,0.02,-2.06,0.33,0.0
3,0.06,0.06,0.0005,-0,0.03,0.03,-0,0,1.97,0.67,0.0
3,0.01,0.01,0.0001,-0.01,0.01,0.01,-0.01,0.01,0.71,0.67,0.0
7,-0.05,0.01,-0.0004,-0.04,0.03,0.02,-0.02,0.05,-1.18,0.29,0.0
5,0.07,0.07,0.0006,-0.01,0.04,0.02,-0.01,0.01,2,0.8,0.0
5,0.04,0.04,0.0003,-0.01,0.02,0.02,-0,0.01,1.7,0.6,0.0
10,0.02,0.02,0.0002,-0.06,0.04,0.02,-0.02,0.09,0.33,0.6,0.0
7,-0.01,0,-0,-0.02,0.01,0.01,-0.01,0.04,-0.25,0.57,0.0
7,-0.03,0,-0.0003,-0.03,0.02,0.01,-0.01,0.06,-1.16,0.29,0.0
4,0.06,0.06,0.0005,0,0.04,0.02,0,0,2.1,1,0.0
4,0.05,0.05,0.0004,-0,0.03,0.02,-0,0,2.35,0.75,0.0
9,0.1,0.1,0.0008,-0.01,0.07,0.03,-0,0.01,1.9,0.44,0.0
7,-0.08,0,-0.0007,-0.04,0.03,0.03,-0.02,0.08,-1.93,0.14,0.0
7,-0.1,0,-0.0008,-0.03,0.01,0.01,-0.02,0.1,-2.58,0.14,0.0
7,-0.02,0.03,-0.0002,-0.05,0.02,0.01,-0.02,0.05,-0.53,0.57,0.0
5,0.04,0.04,0.0003,-0.02,0.03,0.02,-0.02,0.02,1.2,0.6,0.0
5,0.05,0.05,0.0004,-0.01,0.05,0.02,-0.01,0.01,1.34,0.6,0.0
7,-0.01,0.01,-0.0001,-0.05,0.03,0.01,-0.03,0.06,-0.26,0.71,0.0
7,0.02,0.02,0.0002,-0.05,0.06,0.01,-0.03,0.05,0.37,0.71,0.0
8,0.32,0.37,0.0026,-0.05,0.32,0.1,-0.02,0.05,1.4,0.5,0.0
6,0.01,0.01,0.0001,-0.01,0.01,0.01,-0,0.01,0.54,0.33,0.0
